# True_Mass_GeV  Predicted_Mass_GeV  Resolution_GeV
511.51  493.02  -18.49
480.91  413.09  -67.82
721.77  622.68  -99.08
455.06  423.18  -31.88
954.73  787.39  -167.34
527.41  475.09  -52.32
496.43  483.15  -13.29
436.23  470.94  34.71
624.17  705.33  81.16
370.27  378.17  7.91
394.18  416.69  22.51
467.25  428.24  -39.02
405.41  426.68  21.27
373.38  393.22  19.84
483.43  449.98  -33.45
582.36  621.64  39.28
373.85  444.90  71.04
507.21  532.21  25.00
566.64  660.38  93.74
1008.94  1061.19  52.25
475.34  475.81  0.47
528.20  459.54  -68.65
571.31  563.15  -8.15
367.53  422.25  54.72
359.73  416.11  56.38
466.19  448.97  -17.22
547.81  556.82  9.01
407.87  459.54  51.67
509.86  523.95  14.09
435.84  484.60  48.76
381.00  393.11  12.11
669.09  573.28  -95.82
648.82  609.21  -39.61
493.87  518.91  25.04
415.45  432.48  17.03
601.28  630.38  29.11
386.70  391.10  4.40
454.97  413.32  -41.65
633.74  451.20  -182.54
466.68  392.01  -74.67
381.85  430.93  49.08
588.67  613.31  24.64
389.72  429.77  40.05
474.22  434.56  -39.66
412.23  387.37  -24.87
677.74  669.05  -8.69
655.00  582.72  -72.28
410.53  398.10  -12.43
572.48  651.55  79.07
476.55  468.32  -8.23
514.47  614.61  100.14
364.32  389.99  25.67
400.46  436.47  36.02
704.48  656.52  -47.96
482.13  426.75  -55.38
388.27  397.64  9.37
521.85  440.98  -80.86
517.48  444.16  -73.32
526.57  545.63  19.06
498.87  633.81  134.94
724.94  849.85  124.91
475.96  566.42  90.46
570.22  564.49  -5.74
576.34  452.03  -124.31
427.43  439.02  11.59
390.06  416.32  26.26
467.35  397.32  -70.04
398.57  465.08  66.52
523.90  511.37  -12.53
372.48  428.09  55.61
427.31  468.59  41.28
504.06  503.64  -0.42
791.98  770.93  -21.06
433.20  432.59  -0.61
604.91  556.06  -48.85
612.07  623.73  11.67
612.01  536.26  -75.75
493.88  493.98  0.10
689.32  561.90  -127.42
430.34  440.41  10.07
539.69  534.22  -5.47
376.09  435.42  59.33
897.24  935.54  38.30
543.08  595.83  52.75
517.27  454.32  -62.95
476.54  550.61  74.06
379.07  390.25  11.18
612.25  599.52  -12.72
515.31  483.33  -31.99
527.68  644.80  117.12
1200.04  1175.35  -24.69
512.84  442.44  -70.40
741.26  790.53  49.27
357.45  392.38  34.93
538.30  449.79  -88.51
368.16  413.81  45.66
507.00  578.16  71.16
485.62  406.37  -79.25
834.54  899.96  65.43
429.56  545.29  115.72
936.78  871.30  -65.48
662.08  544.49  -117.59
651.39  568.86  -82.53
671.58  530.87  -140.71
453.85  466.08  12.23
507.42  553.35  45.93
552.47  562.70  10.23
375.01  409.91  34.89
1204.62  1045.40  -159.22
573.32  507.62  -65.70
590.01  566.97  -23.04
931.17  762.70  -168.47
506.06  406.14  -99.92
592.80  476.07  -116.73
465.85  425.81  -40.04
814.26  625.68  -188.58
536.94  509.40  -27.54
464.92  430.08  -34.84
490.32  504.02  13.70
469.97  478.02  8.05
367.11  423.58  56.47
713.89  588.51  -125.37
440.05  513.09  73.04
876.04  801.40  -74.64
608.80  468.24  -140.56
746.40  607.21  -139.18
878.98  710.85  -168.12
495.80  454.53  -41.28
365.72  421.33  55.61
400.78  417.10  16.33
530.42  565.13  34.71
503.56  527.98  24.42
727.61  697.61  -30.00
498.36  539.96  41.60
550.54  507.38  -43.16
448.87  519.13  70.26
836.26  1003.66  167.40
727.34  489.73  -237.61
779.27  645.03  -134.24
786.54  715.07  -71.47
393.50  453.60  60.10
455.53  457.92  2.39
483.86  405.56  -78.30
513.03  477.16  -35.87
496.28  554.56  58.29
732.43  557.82  -174.61
416.74  395.97  -20.77
438.10  453.75  15.64
434.05  428.24  -5.80
514.05  593.20  79.15
492.46  437.38  -55.08
501.12  438.82  -62.29
759.61  657.39  -102.22
382.21  392.26  10.04
727.62  519.00  -208.62
441.08  482.86  41.78
498.86  606.26  107.40
357.18  404.74  47.56
446.60  485.67  39.07
355.96  393.95  37.98
362.50  380.28  17.78
502.71  485.62  -17.09
640.14  580.95  -59.19
729.43  688.31  -41.12
1007.88  1216.86  208.98
1631.31  1290.38  -340.93
401.50  420.15  18.65
561.22  516.47  -44.75
404.01  380.61  -23.40
556.12  563.60  7.48
426.11  488.28  62.17
567.73  572.84  5.12
451.33  443.45  -7.88
519.08  408.12  -110.96
418.08  417.40  -0.68
849.64  973.46  123.82
596.34  492.52  -103.81
667.10  536.76  -130.33
441.98  428.13  -13.85
378.53  431.59  53.06
438.54  439.11  0.57
1194.47  1145.67  -48.79
781.43  520.40  -261.03
443.39  425.03  -18.36
515.82  426.29  -89.52
469.74  434.18  -35.56
524.30  547.61  23.31
577.27  528.78  -48.49
383.59  439.64  56.05
431.51  495.27  63.76
650.47  573.52  -76.95
742.04  759.99  17.95
821.67  736.03  -85.64
471.26  446.28  -24.98
672.55  575.10  -97.45
449.16  459.18  10.02
434.07  402.99  -31.08
377.45  424.61  47.17
577.00  554.91  -22.09
507.88  481.30  -26.59
801.84  573.99  -227.85
629.81  542.99  -86.82
422.87  405.56  -17.30
540.78  431.46  -109.33
505.56  690.22  184.66
415.26  423.34  8.08
358.53  373.41  14.88
496.79  475.25  -21.54
421.88  442.99  21.11
564.76  536.03  -28.73
414.63  427.57  12.94
431.95  407.32  -24.63
517.10  521.71  4.62
520.27  676.02  155.75
496.27  477.88  -18.39
377.10  411.31  34.21
393.08  480.47  87.39
437.67  383.27  -54.40
678.45  637.23  -41.22
