# True_Mass_GeV  Predicted_Mass_GeV  Resolution_GeV
511.51  518.76  7.25
480.91  412.85  -68.06
721.77  710.51  -11.26
455.06  426.98  -28.08
954.73  732.32  -222.41
527.41  479.40  -48.01
496.43  454.42  -42.01
436.23  463.48  27.25
624.17  686.88  62.71
370.27  378.26  8.00
394.18  394.25  0.06
467.25  415.29  -51.97
405.41  421.09  15.68
373.38  411.29  37.90
483.43  448.16  -35.28
582.36  629.94  47.58
373.85  433.05  59.20
507.21  539.43  32.22
566.64  639.14  72.49
1008.94  1023.21  14.27
475.34  465.55  -9.79
528.20  439.55  -88.65
571.31  560.73  -10.57
367.53  429.04  61.50
359.73  417.38  57.65
466.19  429.24  -36.95
547.81  601.76  53.95
407.87  461.20  53.33
509.86  512.86  3.01
435.84  466.20  30.36
381.00  388.20  7.21
669.09  588.67  -80.43
648.82  587.87  -60.96
493.87  522.27  28.41
415.45  460.92  45.46
601.28  623.96  22.68
386.70  386.20  -0.50
454.97  418.18  -36.79
633.74  489.82  -143.92
466.68  398.45  -68.23
381.85  438.98  57.13
588.67  638.99  50.33
389.72  438.48  48.76
474.22  416.44  -57.78
412.23  388.98  -23.26
677.74  653.16  -24.58
655.00  575.76  -79.24
410.53  401.62  -8.91
572.48  644.76  72.28
476.55  472.00  -4.55
514.47  630.59  116.13
364.32  391.92  27.60
400.46  454.95  54.50
704.48  728.51  24.03
482.13  447.80  -34.32
388.27  424.35  36.08
521.85  453.21  -68.63
517.48  448.57  -68.91
526.57  558.02  31.45
498.87  556.12  57.26
724.94  740.74  15.79
475.96  622.48  146.52
570.22  566.85  -3.38
576.34  460.71  -115.63
427.43  462.03  34.60
390.06  396.42  6.35
467.35  416.63  -50.72
398.57  458.54  59.97
523.90  529.39  5.49
372.48  434.65  62.18
427.31  464.50  37.19
504.06  490.20  -13.86
791.98  769.88  -22.10
433.20  419.36  -13.84
604.91  535.43  -69.48
612.07  626.39  14.33
612.01  581.46  -30.54
493.88  483.13  -10.75
689.32  580.59  -108.73
430.34  442.75  12.42
539.69  520.41  -19.27
376.09  452.87  76.78
897.24  941.96  44.71
543.08  576.74  33.66
517.27  460.22  -57.05
476.54  543.63  67.09
379.07  402.13  23.06
612.25  606.57  -5.68
515.31  474.41  -40.90
527.68  649.49  121.81
1200.04  1057.35  -142.70
512.84  439.13  -73.72
741.26  701.83  -39.43
357.45  396.27  38.82
538.30  450.56  -87.74
368.16  413.59  45.43
507.00  597.73  90.73
485.62  423.45  -62.17
834.54  824.34  -10.19
429.56  421.05  -8.52
936.78  870.88  -65.89
662.08  557.73  -104.34
651.39  564.31  -87.08
671.58  532.39  -139.19
453.85  478.55  24.70
507.42  465.41  -42.01
552.47  552.51  0.04
375.01  408.17  33.16
1204.62  604.75  -599.87
573.32  526.63  -46.69
590.01  565.85  -24.16
931.17  772.35  -158.82
506.06  401.61  -104.46
592.80  485.26  -107.54
465.85  390.87  -74.97
814.26  665.21  -149.05
536.94  509.10  -27.84
464.92  438.43  -26.49
490.32  495.26  4.94
469.97  484.59  14.63
367.11  429.72  62.61
713.89  585.09  -128.80
440.05  514.42  74.37
876.04  839.17  -36.87
608.80  476.90  -131.90
746.40  649.15  -97.24
878.98  741.01  -137.97
495.80  447.63  -48.18
365.72  422.48  56.76
400.78  412.40  11.62
530.42  542.13  11.70
503.56  539.99  36.43
727.61  689.35  -38.27
498.36  552.09  53.73
550.54  524.49  -26.05
448.87  523.01  74.15
836.26  985.16  148.90
727.34  481.73  -245.60
779.27  626.16  -153.10
786.54  768.94  -17.60
393.50  461.79  68.29
455.53  451.54  -3.98
483.86  416.98  -66.89
513.03  479.74  -33.30
496.28  544.45  48.18
732.43  549.46  -182.97
416.74  396.47  -20.27
438.10  477.02  38.91
434.05  452.70  18.66
514.05  603.50  89.45
492.46  436.94  -55.52
501.12  431.92  -69.19
759.61  670.39  -89.21
382.21  387.87  5.66
727.62  520.08  -207.54
441.08  515.25  74.17
498.86  598.77  99.91
357.18  403.78  46.61
446.60  484.62  38.02
355.96  384.78  28.81
362.50  376.56  14.05
502.71  496.66  -6.04
640.14  576.91  -63.23
729.43  692.33  -37.10
1007.88  1203.37  195.48
1631.31  1365.92  -265.39
401.50  415.97  14.48
561.22  533.27  -27.95
404.01  399.06  -4.95
556.12  593.00  36.88
426.11  513.11  87.00
567.73  598.94  31.22
451.33  436.15  -15.18
519.08  419.72  -99.36
418.08  419.75  1.67
849.64  832.63  -17.02
596.34  498.71  -97.63
667.10  567.14  -99.96
441.98  430.01  -11.97
378.53  435.44  56.91
438.54  448.14  9.60
1194.47  1094.44  -100.02
781.43  523.27  -258.17
443.39  422.74  -20.65
515.82  440.49  -75.32
469.74  442.93  -26.82
524.30  533.81  9.51
577.27  539.32  -37.96
383.59  431.59  48.00
431.51  501.86  70.35
650.47  533.87  -116.60
742.04  755.67  13.63
821.67  787.38  -34.29
471.26  445.02  -26.24
672.55  577.13  -95.43
449.16  469.99  20.83
434.07  404.23  -29.84
377.45  438.75  61.30
577.00  554.45  -22.55
507.88  472.45  -35.44
801.84  559.91  -241.93
629.81  558.57  -71.24
422.87  403.97  -18.89
540.78  448.99  -91.79
505.56  689.40  183.83
415.26  423.00  7.74
358.53  373.14  14.60
496.79  483.67  -13.13
421.88  435.83  13.95
564.76  525.60  -39.16
414.63  419.13  4.50
431.95  406.81  -25.14
517.10  514.00  -3.10
520.27  712.86  192.59
496.27  463.34  -32.94
377.10  414.58  37.48
393.08  433.67  40.60
437.67  386.27  -51.40
678.45  648.86  -29.59
787.75  1016.86  229.11
372.96  423.53  50.56
476.52  533.76  57.24
447.80  479.49  31.69
646.56  588.14  -58.42
632.33  643.66  11.34
354.53  381.03  26.50
435.80  416.60  -19.20
636.01  455.32  -180.70
373.59  388.03  14.44
505.85  416.86  -89.00
765.61  795.49  29.88
536.60  451.89  -84.70
691.26  681.88  -9.38
436.14  482.93  46.79
517.96  440.80  -77.15
702.59  888.89  186.30
471.62  440.57  -31.05
357.70  392.75  35.05
511.53  501.47  -10.06
381.30  421.07  39.76
375.61  382.97  7.36
625.79  486.75  -139.05
571.68  759.41  187.72
400.21  453.36  53.14
551.37  568.85  17.48
756.83  447.27  -309.56
554.63  415.62  -139.02
542.27  483.90  -58.37
386.83  432.32  45.48
361.04  404.31  43.28
544.42  547.27  2.85
355.31  408.66  53.35
590.56  457.22  -133.34
543.95  433.48  -110.47
414.70  533.60  118.90
442.00  447.34  5.34
431.78  477.57  45.79
463.35  462.74  -0.60
530.32  470.37  -59.95
408.78  394.21  -14.56
879.32  614.53  -264.79
404.32  471.47  67.15
383.54  405.82  22.29
617.63  774.69  157.06
644.02  695.98  51.96
394.72  409.88  15.15
986.82  784.40  -202.42
449.53  408.14  -41.39
603.60  513.16  -90.44
332.12  376.63  44.52
521.83  443.86  -77.97
354.01  414.37  60.36
663.85  538.45  -125.40
682.69  486.35  -196.34
542.31  539.19  -3.12
461.50  425.04  -36.46
