# True_Mass_GeV  Predicted_Mass_GeV  Resolution_GeV
511.51  498.55  -12.96
480.91  423.33  -57.58
721.77  681.66  -40.11
455.06  424.63  -30.43
954.73  780.01  -174.72
527.41  453.65  -73.76
496.43  468.99  -27.44
436.23  442.72  6.49
624.17  673.97  49.79
370.27  381.46  11.19
394.18  427.76  33.57
467.25  422.81  -44.45
405.41  414.86  9.45
373.38  403.59  30.21
483.43  433.76  -49.68
582.36  650.20  67.84
373.85  444.39  70.54
507.21  535.96  28.75
566.64  657.00  90.35
1008.94  1052.71  43.77
475.34  468.54  -6.80
528.20  449.41  -78.78
571.31  567.04  -4.26
367.53  422.90  55.37
359.73  405.83  46.10
466.19  444.99  -21.21
547.81  599.30  51.49
407.87  457.18  49.30
509.86  514.87  5.01
435.84  486.93  51.10
381.00  390.13  9.13
669.09  548.49  -120.61
648.82  605.56  -43.26
493.87  522.07  28.20
415.45  411.99  -3.46
601.28  599.06  -2.21
386.70  385.43  -1.27
454.97  416.46  -38.51
633.74  511.75  -121.99
466.68  398.63  -68.05
381.85  431.98  50.14
588.67  614.11  25.45
389.72  446.15  56.43
474.22  435.87  -38.35
412.23  385.04  -27.19
677.74  634.97  -42.77
655.00  573.90  -81.09
410.53  392.39  -18.14
572.48  633.65  61.16
476.55  479.47  2.91
514.47  592.44  77.98
364.32  378.43  14.11
400.46  441.97  41.52
704.48  657.28  -47.20
482.13  473.42  -8.71
388.27  427.39  39.12
521.85  464.07  -57.78
517.48  444.35  -73.13
526.57  551.22  24.66
498.87  558.03  59.17
724.94  778.89  53.95
475.96  585.80  109.84
570.22  566.56  -3.66
576.34  463.97  -112.37
427.43  441.97  14.54
390.06  388.71  -1.36
467.35  412.44  -54.91
398.57  466.82  68.25
523.90  527.82  3.92
372.48  415.66  43.18
427.31  454.09  26.78
504.06  503.27  -0.79
791.98  756.92  -35.06
433.20  437.19  4.00
604.91  552.85  -52.06
612.07  671.84  59.77
612.01  575.17  -36.84
493.88  490.61  -3.27
689.32  567.34  -121.97
430.34  431.21  0.87
539.69  566.01  26.32
376.09  461.14  85.05
897.24  928.50  31.26
543.08  588.33  45.26
517.27  450.57  -66.70
476.54  544.20  67.65
379.07  393.05  13.98
612.25  607.42  -4.83
515.31  520.02  4.70
527.68  632.94  105.26
1200.04  1156.59  -43.46
512.84  438.38  -74.46
741.26  716.89  -24.36
357.45  387.06  29.61
538.30  459.06  -79.24
368.16  410.36  42.20
507.00  585.97  78.97
485.62  409.51  -76.11
834.54  828.30  -6.23
429.56  487.03  57.46
936.78  868.51  -68.27
662.08  581.43  -80.65
651.39  577.82  -73.57
671.58  542.83  -128.74
453.85  483.29  29.44
507.42  522.87  15.45
552.47  552.29  -0.18
375.01  401.51  26.50
1204.62  1189.08  -15.54
573.32  531.98  -41.34
590.01  568.19  -21.82
931.17  779.86  -151.31
506.06  398.25  -107.82
592.80  476.35  -116.45
465.85  417.33  -48.51
814.26  624.48  -189.77
536.94  526.84  -10.10
464.92  437.98  -26.94
490.32  479.78  -10.54
469.97  488.39  18.42
367.11  419.69  52.58
713.89  591.08  -122.81
440.05  515.57  75.52
876.04  872.68  -3.35
608.80  487.30  -121.50
746.40  682.33  -64.06
878.98  732.05  -146.92
495.80  429.91  -65.90
365.72  412.29  46.57
400.78  420.30  19.53
530.42  565.62  35.20
503.56  533.90  30.34
727.61  661.74  -65.87
498.36  553.78  55.41
550.54  533.96  -16.59
448.87  513.61  64.74
836.26  1017.59  181.33
727.34  487.64  -239.70
779.27  636.51  -142.75
786.54  850.03  63.49
393.50  466.46  72.97
455.53  458.91  3.38
483.86  407.06  -76.80
513.03  542.15  29.12
496.28  523.24  26.96
732.43  565.06  -167.37
416.74  398.37  -18.37
438.10  453.74  15.63
434.05  412.93  -21.11
514.05  611.88  97.84
492.46  428.54  -63.92
501.12  433.80  -67.32
759.61  661.74  -97.87
382.21  381.91  -0.30
727.62  543.13  -184.49
441.08  469.78  28.69
498.86  579.09  80.23
357.18  402.41  45.23
446.60  489.97  43.37
355.96  400.01  44.05
362.50  380.50  18.00
502.71  480.68  -22.02
640.14  558.57  -81.57
729.43  713.51  -15.92
1007.88  1203.33  195.44
1631.31  1386.72  -244.59
401.50  424.07  22.57
561.22  525.97  -35.25
404.01  383.40  -20.61
556.12  569.99  13.87
426.11  479.63  53.52
567.73  598.53  30.81
451.33  435.92  -15.41
519.08  445.90  -73.18
418.08  421.78  3.70
849.64  845.44  -4.20
596.34  548.18  -48.16
667.10  557.51  -109.59
441.98  453.22  11.24
378.53  416.43  37.90
438.54  436.42  -2.11
1194.47  1196.96  2.49
781.43  518.73  -262.70
443.39  430.65  -12.74
515.82  441.07  -74.74
469.74  437.21  -32.53
524.30  571.24  46.94
577.27  538.75  -38.52
383.59  435.98  52.39
431.51  485.73  54.22
650.47  522.69  -127.78
742.04  793.51  51.46
821.67  822.69  1.02
471.26  441.38  -29.88
672.55  566.81  -105.75
449.16  461.90  12.74
434.07  398.52  -35.56
377.45  422.20  44.75
577.00  559.98  -17.01
507.88  479.95  -27.93
801.84  574.94  -226.90
629.81  569.55  -60.26
422.87  407.47  -15.40
540.78  441.98  -98.80
505.56  703.11  197.54
415.26  421.36  6.09
358.53  373.55  15.01
496.79  478.21  -18.59
421.88  449.15  27.27
564.76  540.68  -24.08
414.63  409.64  -4.99
431.95  408.92  -23.04
517.10  524.75  7.65
520.27  709.43  189.16
496.27  486.11  -10.17
377.10  407.17  30.07
393.08  446.55  53.47
437.67  386.08  -51.60
678.45  637.80  -40.66
787.75  905.41  117.66
372.96  422.37  49.41
476.52  542.51  65.99
447.80  495.37  47.57
646.56  590.97  -55.59
632.33  645.20  12.87
354.53  377.67  23.14
435.80  404.74  -31.06
636.01  506.91  -129.11
373.59  392.38  18.78
505.85  411.78  -94.07
765.61  795.32  29.71
536.60  446.91  -89.69
691.26  670.99  -20.27
436.14  492.15  56.00
517.96  444.95  -73.00
702.59  934.18  231.59
471.62  427.90  -43.72
357.70  388.46  30.75
511.53  493.57  -17.96
381.30  410.73  29.43
375.61  380.98  5.37
625.79  484.80  -140.99
571.68  753.49  181.81
400.21  462.08  61.87
551.37  575.47  24.10
756.83  480.57  -276.26
554.63  411.71  -142.93
542.27  469.80  -72.48
386.83  418.91  32.07
361.04  405.15  44.11
544.42  555.80  11.38
355.31  411.04  55.73
590.56  453.36  -137.20
543.95  428.81  -115.14
414.70  539.93  125.24
442.00  434.08  -7.92
431.78  441.39  9.61
463.35  453.54  -9.80
530.32  483.05  -47.27
408.78  403.26  -5.51
879.32  625.14  -254.18
404.32  480.50  76.18
383.54  402.93  19.39
617.63  677.03  59.40
644.02  688.03  44.01
394.72  447.13  52.40
986.82  791.80  -195.02
449.53  412.27  -37.26
603.60  552.37  -51.23
332.12  377.01  44.89
521.83  448.05  -73.78
354.01  417.64  63.63
663.85  530.81  -133.04
682.69  491.22  -191.47
542.31  550.02  7.71
461.50  446.11  -15.39
804.77  725.91  -78.86
381.03  383.29  2.25
476.57  495.19  18.62
360.27  375.41  15.14
525.21  507.24  -17.97
362.74  407.12  44.38
493.20  502.18  8.98
