# ---------- BATCH RECIEPT ---------- #
Job ID: 17762831
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:50:53 BST 2026
Job description: Direct Regression DNN
Node: node885.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:51:33
Using cuda device with number of GPUs: 1


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.1634 | Val Loss: 0.1250 | Loss Diff : 0.0384 | Epoch Time: 4.13s | Total Time: 4.13s
Epoch 2/150 | Train Loss: 0.1339 | Val Loss: 0.1190 | Loss Diff : 0.0149 | Epoch Time: 3.99s | Total Time: 8.12s
Epoch 3/150 | Train Loss: 0.1295 | Val Loss: 0.1161 | Loss Diff : 0.0135 | Epoch Time: 3.98s | Total Time: 12.10s
Epoch 4/150 | Train Loss: 0.1272 | Val Loss: 0.1149 | Loss Diff : 0.0123 | Epoch Time: 4.19s | Total Time: 16.29s
Epoch 5/150 | Train Loss: 0.1256 | Val Loss: 0.1137 | Loss Diff : 0.0119 | Epoch Time: 4.01s | Total Time: 20.30s
Epoch 6/150 | Train Loss: 0.1245 | Val Loss: 0.1129 | Loss Diff : 0.0116 | Epoch Time: 4.09s | Total Time: 24.39s
Epoch 7/150 | Train Loss: 0.1236 | Val Loss: 0.1127 | Loss Diff : 0.0109 | Epoch Time: 4.09s | Total Time: 28.48s
Epoch 8/150 | Train Loss: 0.1228 | Val Loss: 0.1110 | Loss Diff : 0.0119 | Epoch Time: 4.21s | Total Time: 32.69s
Epoch 9/150 | Train Loss: 0.1213 | Val Loss: 0.1095 | Loss Diff : 0.0118 | Epoch Time: 4.38s | Total Time: 37.07s
Epoch 10/150 | Train Loss: 0.1204 | Val Loss: 0.1089 | Loss Diff : 0.0116 | Epoch Time: 4.25s | Total Time: 41.32s
Epoch 11/150 | Train Loss: 0.1199 | Val Loss: 0.1082 | Loss Diff : 0.0118 | Epoch Time: 4.14s | Total Time: 45.46s
Epoch 12/150 | Train Loss: 0.1194 | Val Loss: 0.1074 | Loss Diff : 0.0119 | Epoch Time: 4.16s | Total Time: 49.62s
Epoch 13/150 | Train Loss: 0.1184 | Val Loss: 0.1066 | Loss Diff : 0.0117 | Epoch Time: 4.32s | Total Time: 53.94s
Epoch 14/150 | Train Loss: 0.1180 | Val Loss: 0.1063 | Loss Diff : 0.0117 | Epoch Time: 4.47s | Total Time: 58.41s
Epoch 15/150 | Train Loss: 0.1176 | Val Loss: 0.1063 | Loss Diff : 0.0113 | Epoch Time: 4.28s | Total Time: 62.69s
Epoch 16/150 | Train Loss: 0.1174 | Val Loss: 0.1055 | Loss Diff : 0.0119 | Epoch Time: 4.48s | Total Time: 67.16s
Epoch 17/150 | Train Loss: 0.1172 | Val Loss: 0.1061 | Loss Diff : 0.0111 | Epoch Time: 4.33s | Total Time: 71.50s
Epoch 18/150 | Train Loss: 0.1170 | Val Loss: 0.1058 | Loss Diff : 0.0112 | Epoch Time: 4.46s | Total Time: 75.96s
