# ---------- BATCH RECIEPT ---------- #
Job ID: 17760902
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 13:03:20 BST 2026
Job description: Direct Regression MLA with kl divergence
Node: node880.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 13:03:24
Using cuda device with number of GPUs: 1
Transformer(
  (jet_0_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_0_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (jet_1_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_1_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (jet_2_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_2_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (jet_3_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_3_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (muon_compressor): Linear(in_features=10, out_features=16, bias=True)
  (muon_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (electron_compressor): Linear(in_features=10, out_features=16, bias=True)
  (electron_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (met_compressor): Linear(in_features=2, out_features=16, bias=True)
  (met_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (transformer): TransformerEncoder(
    (layers): ModuleList(
      (0-3): 4 x TransformerEncoderLayer(
        (self_attn): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
        )
        (linear1): Linear(in_features=64, out_features=256, bias=True)
        (dropout): Dropout(p=0.1, inplace=False)
        (linear2): Linear(in_features=256, out_features=64, bias=True)
        (norm1): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
        (norm2): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
        (dropout1): Dropout(p=0.1, inplace=False)
        (dropout2): Dropout(p=0.1, inplace=False)
      )
    )
  )
  (pool): AttentionPooling(
    (attention): Linear(in_features=64, out_features=1, bias=True)
  )
  (classifier): Sequential(
    (0): Linear(in_features=64, out_features=128, bias=True)
    (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    (2): GELU(approximate='none')
    (3): Dropout(p=0.1, inplace=False)
    (4): Linear(in_features=128, out_features=64, bias=True)
    (5): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
    (6): GELU(approximate='none')
    (7): Dropout(p=0.1, inplace=False)
    (8): Linear(in_features=64, out_features=32, bias=True)
    (9): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
    (10): GELU(approximate='none')
    (11): Dropout(p=0.1, inplace=False)
    (12): Linear(in_features=32, out_features=1, bias=True)
  )
)
Total parameters: 227,730


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.1546 (KL: 0.2032) | Val Loss: 0.1205 (KL: 0.0652) | KLw: 0.007 | Loss Diff : 0.0341 | Epoch Time: 9.66s | Total Time: 9.66s
Epoch 2/150 | Train Loss: 0.1233 (KL: 0.0552) | Val Loss: 0.1133 (KL: 0.0411) | KLw: 0.013 | Loss Diff : 0.0100 | Epoch Time: 9.36s | Total Time: 19.02s
Epoch 3/150 | Train Loss: 0.1185 (KL: 0.0417) | Val Loss: 0.1152 (KL: 0.0316) | KLw: 0.020 | Loss Diff : 0.0033 | Epoch Time: 9.39s | Total Time: 28.42s
Epoch 4/150 | Train Loss: 0.1152 (KL: 0.0346) | Val Loss: 0.1086 (KL: 0.0361) | KLw: 0.027 | Loss Diff : 0.0066 | Epoch Time: 9.40s | Total Time: 37.82s
Epoch 5/150 | Train Loss: 0.1125 (KL: 0.0300) | Val Loss: 0.1079 (KL: 0.0250) | KLw: 0.033 | Loss Diff : 0.0046 | Epoch Time: 9.36s | Total Time: 47.18s
Epoch 6/150 | Train Loss: 0.1108 (KL: 0.0268) | Val Loss: 0.1043 (KL: 0.0157) | KLw: 0.040 | Loss Diff : 0.0065 | Epoch Time: 9.36s | Total Time: 56.54s
Epoch 7/150 | Train Loss: 0.1096 (KL: 0.0248) | Val Loss: 0.1073 (KL: 0.0119) | KLw: 0.047 | Loss Diff : 0.0022 | Epoch Time: 9.37s | Total Time: 65.91s
Epoch 8/150 | Train Loss: 0.1086 (KL: 0.0227) | Val Loss: 0.1041 (KL: 0.0092) | KLw: 0.053 | Loss Diff : 0.0045 | Epoch Time: 9.38s | Total Time: 75.28s
Epoch 9/150 | Train Loss: 0.1080 (KL: 0.0211) | Val Loss: 0.1023 (KL: 0.0182) | KLw: 0.060 | Loss Diff : 0.0057 | Epoch Time: 9.37s | Total Time: 84.66s
Epoch 10/150 | Train Loss: 0.1075 (KL: 0.0203) | Val Loss: 0.1048 (KL: 0.0110) | KLw: 0.067 | Loss Diff : 0.0027 | Epoch Time: 9.36s | Total Time: 94.02s
Epoch 11/150 | Train Loss: 0.1070 (KL: 0.0189) | Val Loss: 0.1045 (KL: 0.0123) | KLw: 0.073 | Loss Diff : 0.0025 | Epoch Time: 9.54s | Total Time: 103.56s
Epoch 12/150 | Train Loss: 0.1067 (KL: 0.0184) | Val Loss: 0.1022 (KL: 0.0118) | KLw: 0.080 | Loss Diff : 0.0045 | Epoch Time: 9.48s | Total Time: 113.04s
Epoch 13/150 | Train Loss: 0.1063 (KL: 0.0174) | Val Loss: 0.1031 (KL: 0.0213) | KLw: 0.087 | Loss Diff : 0.0032 | Epoch Time: 9.37s | Total Time: 122.41s
Epoch 14/150 | Train Loss: 0.1062 (KL: 0.0166) | Val Loss: 0.1041 (KL: 0.0098) | KLw: 0.093 | Loss Diff : 0.0021 | Epoch Time: 9.37s | Total Time: 131.78s
Epoch 15/150 | Train Loss: 0.1059 (KL: 0.0162) | Val Loss: 0.1035 (KL: 0.0143) | KLw: 0.100 | Loss Diff : 0.0024 | Epoch Time: 9.38s | Total Time: 141.16s
