# ---------- BATCH RECIEPT ---------- #
Job ID: 17760799
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 12:32:16 BST 2026
Job description: Kinematic Regression MHA with no scaling
Node: node873.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 12:32:23
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.3401 (KL: 1.2102) | Val Loss: 0.2751 (KL: 0.4756) | Train - Val Loss Diff : 0.0650 | Mass Train Loss : 242.8958 | Mass Val Loss : 191.3452 | Epoch Time: 12.21s | Total Time: 12.21s
Epoch 2/150 | Train Loss: 0.2195 (KL: 0.1058) | Val Loss: 0.1876 (KL: 0.0610) | Train - Val Loss Diff : 0.0319 | Mass Train Loss : 175.0934 | Mass Val Loss : 147.7450 | Epoch Time: 11.44s | Total Time: 23.65s
Epoch 3/150 | Train Loss: 0.1853 (KL: 0.0571) | Val Loss: 0.1237 (KL: 0.0451) | Train - Val Loss Diff : 0.0616 | Mass Train Loss : 162.6793 | Mass Val Loss : 116.2152 | Epoch Time: 11.45s | Total Time: 35.10s
Epoch 4/150 | Train Loss: 0.1362 (KL: 0.0277) | Val Loss: 0.1138 (KL: 0.0278) | Train - Val Loss Diff : 0.0225 | Mass Train Loss : 136.4241 | Mass Val Loss : 105.7690 | Epoch Time: 11.45s | Total Time: 46.55s
Epoch 5/150 | Train Loss: 0.1313 (KL: 0.0243) | Val Loss: 0.1117 (KL: 0.0216) | Train - Val Loss Diff : 0.0196 | Mass Train Loss : 132.4169 | Mass Val Loss : 103.0251 | Epoch Time: 11.46s | Total Time: 58.02s
Epoch 6/150 | Train Loss: 0.1291 (KL: 0.0227) | Val Loss: 0.1106 (KL: 0.0203) | Train - Val Loss Diff : 0.0185 | Mass Train Loss : 130.0683 | Mass Val Loss : 109.7177 | Epoch Time: 11.45s | Total Time: 69.46s
Epoch 7/150 | Train Loss: 0.1276 (KL: 0.0214) | Val Loss: 0.1069 (KL: 0.0146) | Train - Val Loss Diff : 0.0207 | Mass Train Loss : 128.4197 | Mass Val Loss : 97.6916 | Epoch Time: 11.46s | Total Time: 80.92s
Epoch 8/150 | Train Loss: 0.1212 (KL: 0.0196) | Val Loss: 0.0940 (KL: 0.0286) | Train - Val Loss Diff : 0.0271 | Mass Train Loss : 132.0613 | Mass Val Loss : 102.8430 | Epoch Time: 11.47s | Total Time: 92.40s
Epoch 9/150 | Train Loss: 0.1142 (KL: 0.0174) | Val Loss: 0.0893 (KL: 0.0178) | Train - Val Loss Diff : 0.0249 | Mass Train Loss : 131.8030 | Mass Val Loss : 99.2874 | Epoch Time: 11.49s | Total Time: 103.89s
Epoch 10/150 | Train Loss: 0.1126 (KL: 0.0165) | Val Loss: 0.0903 (KL: 0.0228) | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 130.6225 | Mass Val Loss : 101.0358 | Epoch Time: 11.46s | Total Time: 115.34s
Epoch 11/150 | Train Loss: 0.1117 (KL: 0.0160) | Val Loss: 0.0879 (KL: 0.0179) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 130.2317 | Mass Val Loss : 93.0569 | Epoch Time: 11.50s | Total Time: 126.84s
Epoch 12/150 | Train Loss: 0.1110 (KL: 0.0156) | Val Loss: 0.0888 (KL: 0.0192) | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 129.7109 | Mass Val Loss : 93.5796 | Epoch Time: 11.46s | Total Time: 138.30s
Epoch 13/150 | Train Loss: 0.1106 (KL: 0.0152) | Val Loss: 0.0881 (KL: 0.0111) | Train - Val Loss Diff : 0.0225 | Mass Train Loss : 129.7179 | Mass Val Loss : 112.4809 | Epoch Time: 11.45s | Total Time: 149.75s
Epoch 14/150 | Train Loss: 0.1099 (KL: 0.0149) | Val Loss: 0.0858 (KL: 0.0129) | Train - Val Loss Diff : 0.0241 | Mass Train Loss : 129.1815 | Mass Val Loss : 104.6434 | Epoch Time: 11.44s | Total Time: 161.20s
Epoch 15/150 | Train Loss: 0.1094 (KL: 0.0143) | Val Loss: 0.0850 (KL: 0.0150) | Train - Val Loss Diff : 0.0244 | Mass Train Loss : 128.7698 | Mass Val Loss : 99.7495 | Epoch Time: 11.50s | Total Time: 172.70s
Epoch 16/150 | Train Loss: 0.1091 (KL: 0.0143) | Val Loss: 0.0848 (KL: 0.0138) | Train - Val Loss Diff : 0.0243 | Mass Train Loss : 128.9699 | Mass Val Loss : 95.4895 | Epoch Time: 11.46s | Total Time: 184.15s
Epoch 17/150 | Train Loss: 0.1086 (KL: 0.0142) | Val Loss: 0.0840 (KL: 0.0121) | Train - Val Loss Diff : 0.0247 | Mass Train Loss : 128.3811 | Mass Val Loss : 98.9746 | Epoch Time: 11.45s | Total Time: 195.61s
Epoch 18/150 | Train Loss: 0.1084 (KL: 0.0142) | Val Loss: 0.0843 (KL: 0.0121) | Train - Val Loss Diff : 0.0240 | Mass Train Loss : 128.0418 | Mass Val Loss : 95.6158 | Epoch Time: 11.44s | Total Time: 207.05s
Epoch 19/150 | Train Loss: 0.1080 (KL: 0.0140) | Val Loss: 0.0841 (KL: 0.0114) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 128.0811 | Mass Val Loss : 99.2837 | Epoch Time: 11.50s | Total Time: 218.55s
Epoch 20/150 | Train Loss: 0.1078 (KL: 0.0139) | Val Loss: 0.0834 (KL: 0.0138) | Train - Val Loss Diff : 0.0243 | Mass Train Loss : 127.7045 | Mass Val Loss : 93.0840 | Epoch Time: 11.48s | Total Time: 230.03s
Epoch 21/150 | Train Loss: 0.1076 (KL: 0.0140) | Val Loss: 0.0835 (KL: 0.0107) | Train - Val Loss Diff : 0.0241 | Mass Train Loss : 128.2362 | Mass Val Loss : 99.3819 | Epoch Time: 11.48s | Total Time: 241.51s
Epoch 22/150 | Train Loss: 0.1072 (KL: 0.0138) | Val Loss: 0.0844 (KL: 0.0134) | Train - Val Loss Diff : 0.0229 | Mass Train Loss : 127.3354 | Mass Val Loss : 102.0877 | Epoch Time: 11.46s | Total Time: 252.97s
Epoch 23/150 | Train Loss: 0.1070 (KL: 0.0137) | Val Loss: 0.0827 (KL: 0.0111) | Train - Val Loss Diff : 0.0243 | Mass Train Loss : 127.1023 | Mass Val Loss : 102.3834 | Epoch Time: 11.47s | Total Time: 264.44s
Epoch 24/150 | Train Loss: 0.1067 (KL: 0.0137) | Val Loss: 0.0825 (KL: 0.0118) | Train - Val Loss Diff : 0.0242 | Mass Train Loss : 127.0649 | Mass Val Loss : 97.5655 | Epoch Time: 11.45s | Total Time: 275.89s
Epoch 25/150 | Train Loss: 0.1066 (KL: 0.0137) | Val Loss: 0.0833 (KL: 0.0105) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 126.9356 | Mass Val Loss : 100.2595 | Epoch Time: 11.46s | Total Time: 287.35s
Epoch 26/150 | Train Loss: 0.1064 (KL: 0.0136) | Val Loss: 0.0817 (KL: 0.0109) | Train - Val Loss Diff : 0.0247 | Mass Train Loss : 126.9265 | Mass Val Loss : 102.9633 | Epoch Time: 11.46s | Total Time: 298.81s
Epoch 27/150 | Train Loss: 0.1062 (KL: 0.0136) | Val Loss: 0.0831 (KL: 0.0138) | Train - Val Loss Diff : 0.0231 | Mass Train Loss : 126.6869 | Mass Val Loss : 94.4469 | Epoch Time: 11.47s | Total Time: 310.28s
Epoch 28/150 | Train Loss: 0.1060 (KL: 0.0136) | Val Loss: 0.0824 (KL: 0.0111) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 126.7329 | Mass Val Loss : 95.4855 | Epoch Time: 11.44s | Total Time: 321.72s
Epoch 29/150 | Train Loss: 0.1058 (KL: 0.0135) | Val Loss: 0.0811 (KL: 0.0122) | Train - Val Loss Diff : 0.0247 | Mass Train Loss : 126.4830 | Mass Val Loss : 90.6076 | Epoch Time: 11.44s | Total Time: 333.16s
Epoch 30/150 | Train Loss: 0.1057 (KL: 0.0135) | Val Loss: 0.0817 (KL: 0.0144) | Train - Val Loss Diff : 0.0240 | Mass Train Loss : 126.4295 | Mass Val Loss : 89.4533 | Epoch Time: 11.47s | Total Time: 344.63s
Epoch 31/150 | Train Loss: 0.1056 (KL: 0.0135) | Val Loss: 0.0808 (KL: 0.0126) | Train - Val Loss Diff : 0.0248 | Mass Train Loss : 126.1995 | Mass Val Loss : 89.7595 | Epoch Time: 11.47s | Total Time: 356.10s
Epoch 32/150 | Train Loss: 0.1055 (KL: 0.0135) | Val Loss: 0.0820 (KL: 0.0118) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 126.1617 | Mass Val Loss : 95.3827 | Epoch Time: 11.51s | Total Time: 367.61s
Epoch 33/150 | Train Loss: 0.1053 (KL: 0.0135) | Val Loss: 0.0830 (KL: 0.0092) | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 126.0047 | Mass Val Loss : 99.6328 | Epoch Time: 11.52s | Total Time: 379.13s
Epoch 34/150 | Train Loss: 0.1052 (KL: 0.0134) | Val Loss: 0.0812 (KL: 0.0128) | Train - Val Loss Diff : 0.0240 | Mass Train Loss : 125.8908 | Mass Val Loss : 95.6388 | Epoch Time: 11.47s | Total Time: 390.61s
Epoch 35/150 | Train Loss: 0.1051 (KL: 0.0135) | Val Loss: 0.0829 (KL: 0.0115) | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 126.2551 | Mass Val Loss : 105.3438 | Epoch Time: 11.46s | Total Time: 402.07s
Epoch 36/150 | Train Loss: 0.1050 (KL: 0.0134) | Val Loss: 0.0814 (KL: 0.0143) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 125.6422 | Mass Val Loss : 95.8894 | Epoch Time: 11.44s | Total Time: 413.51s
Epoch 37/150 | Train Loss: 0.1049 (KL: 0.0134) | Val Loss: 0.0817 (KL: 0.0165) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 125.8321 | Mass Val Loss : 91.2810 | Epoch Time: 11.47s | Total Time: 424.98s
Epoch 38/150 | Train Loss: 0.1019 (KL: 0.0123) | Val Loss: 0.0779 (KL: 0.0126) | Train - Val Loss Diff : 0.0240 | Mass Train Loss : 123.7677 | Mass Val Loss : 94.0827 | Epoch Time: 11.45s | Total Time: 436.43s
Epoch 39/150 | Train Loss: 0.1017 (KL: 0.0123) | Val Loss: 0.0780 (KL: 0.0120) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 123.8125 | Mass Val Loss : 95.3852 | Epoch Time: 11.46s | Total Time: 447.89s
Epoch 40/150 | Train Loss: 0.1016 (KL: 0.0123) | Val Loss: 0.0782 (KL: 0.0109) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 123.7436 | Mass Val Loss : 91.8572 | Epoch Time: 11.43s | Total Time: 459.32s
Epoch 41/150 | Train Loss: 0.1014 (KL: 0.0122) | Val Loss: 0.0781 (KL: 0.0106) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 123.4579 | Mass Val Loss : 95.2738 | Epoch Time: 11.50s | Total Time: 470.82s
Epoch 42/150 | Train Loss: 0.1014 (KL: 0.0123) | Val Loss: 0.0781 (KL: 0.0117) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 123.4280 | Mass Val Loss : 91.9253 | Epoch Time: 11.44s | Total Time: 482.26s
