# ---------- BATCH RECIEPT ---------- #
Job ID: 17762534
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:29:14 BST 2026
Job description: Kinematic Regression MLA with no mass loss
Node: node875.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:31:03
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.05
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.3230 (KL: 1.6816) | Val Loss: 0.3093 (KL: 1.6626) | Train - Val Loss Diff : 0.0137 | Epoch Time: 21.88s | Total Time: 21.88s
Epoch 2/150 | Train Loss: 0.3001 (KL: 1.0164) | Val Loss: 0.2625 (KL: 1.0341) | Train - Val Loss Diff : 0.0376 | Epoch Time: 10.92s | Total Time: 32.80s
Epoch 3/150 | Train Loss: 0.2356 (KL: 0.5884) | Val Loss: 0.1213 (KL: 0.0599) | Train - Val Loss Diff : 0.1143 | Epoch Time: 10.89s | Total Time: 43.69s
Epoch 4/150 | Train Loss: 0.1209 (KL: 0.0346) | Val Loss: 0.0966 (KL: 0.0413) | Train - Val Loss Diff : 0.0243 | Epoch Time: 10.94s | Total Time: 54.63s
Epoch 5/150 | Train Loss: 0.1040 (KL: 0.0258) | Val Loss: 0.0808 (KL: 0.0347) | Train - Val Loss Diff : 0.0232 | Epoch Time: 10.91s | Total Time: 65.54s
Epoch 6/150 | Train Loss: 0.0985 (KL: 0.0224) | Val Loss: 0.0783 (KL: 0.0274) | Train - Val Loss Diff : 0.0202 | Epoch Time: 10.90s | Total Time: 76.44s
Epoch 7/150 | Train Loss: 0.0963 (KL: 0.0209) | Val Loss: 0.0797 (KL: 0.0302) | Train - Val Loss Diff : 0.0166 | Epoch Time: 10.93s | Total Time: 87.37s
Epoch 8/150 | Train Loss: 0.0949 (KL: 0.0201) | Val Loss: 0.0747 (KL: 0.0198) | Train - Val Loss Diff : 0.0202 | Epoch Time: 10.91s | Total Time: 98.28s
Epoch 9/150 | Train Loss: 0.0940 (KL: 0.0192) | Val Loss: 0.0755 (KL: 0.0242) | Train - Val Loss Diff : 0.0185 | Epoch Time: 10.94s | Total Time: 109.23s
Epoch 10/150 | Train Loss: 0.0933 (KL: 0.0186) | Val Loss: 0.0736 (KL: 0.0157) | Train - Val Loss Diff : 0.0197 | Epoch Time: 10.94s | Total Time: 120.17s
Epoch 11/150 | Train Loss: 0.0927 (KL: 0.0179) | Val Loss: 0.0733 (KL: 0.0191) | Train - Val Loss Diff : 0.0194 | Epoch Time: 10.93s | Total Time: 131.10s
