# ---------- BATCH RECIEPT ---------- #
Job ID: 17762322
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:09:26 BST 2026
Job description: Kinematic Regression MLA with no kld
Node: node882.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:09:32
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.3758 | Val Loss: 0.3353 | Train - Val Loss Diff : 0.0406 | Mass Train Loss : 271.9120 | Mass Val Loss : 224.3721 | Epoch Time: 9.61s | Total Time: 9.61s
Epoch 2/150 | Train Loss: 0.3138 | Val Loss: 0.2741 | Train - Val Loss Diff : 0.0396 | Mass Train Loss : 215.0525 | Mass Val Loss : 158.9578 | Epoch Time: 9.29s | Total Time: 18.90s
Epoch 3/150 | Train Loss: 0.2765 | Val Loss: 0.2657 | Train - Val Loss Diff : 0.0108 | Mass Train Loss : 173.5116 | Mass Val Loss : 154.5569 | Epoch Time: 9.28s | Total Time: 28.18s
Epoch 4/150 | Train Loss: 0.2714 | Val Loss: 0.2625 | Train - Val Loss Diff : 0.0089 | Mass Train Loss : 165.3816 | Mass Val Loss : 143.6618 | Epoch Time: 9.31s | Total Time: 37.48s
Epoch 5/150 | Train Loss: 0.2692 | Val Loss: 0.2625 | Train - Val Loss Diff : 0.0067 | Mass Train Loss : 160.9344 | Mass Val Loss : 150.6988 | Epoch Time: 9.30s | Total Time: 46.78s
Epoch 6/150 | Train Loss: 0.2679 | Val Loss: 0.2602 | Train - Val Loss Diff : 0.0078 | Mass Train Loss : 158.2426 | Mass Val Loss : 136.7158 | Epoch Time: 9.29s | Total Time: 56.07s
Epoch 7/150 | Train Loss: 0.2672 | Val Loss: 0.2604 | Train - Val Loss Diff : 0.0068 | Mass Train Loss : 156.7965 | Mass Val Loss : 141.7010 | Epoch Time: 9.30s | Total Time: 65.37s
Epoch 8/150 | Train Loss: 0.2667 | Val Loss: 0.2600 | Train - Val Loss Diff : 0.0067 | Mass Train Loss : 154.8382 | Mass Val Loss : 143.1457 | Epoch Time: 9.37s | Total Time: 74.73s
Epoch 9/150 | Train Loss: 0.2662 | Val Loss: 0.2594 | Train - Val Loss Diff : 0.0068 | Mass Train Loss : 153.8927 | Mass Val Loss : 135.8617 | Epoch Time: 9.29s | Total Time: 84.02s
Epoch 10/150 | Train Loss: 0.2660 | Val Loss: 0.2602 | Train - Val Loss Diff : 0.0058 | Mass Train Loss : 153.1268 | Mass Val Loss : 133.9387 | Epoch Time: 9.28s | Total Time: 93.30s
Epoch 11/150 | Train Loss: 0.2658 | Val Loss: 0.2615 | Train - Val Loss Diff : 0.0043 | Mass Train Loss : 152.4659 | Mass Val Loss : 137.2046 | Epoch Time: 9.24s | Total Time: 102.54s
