# ---------- BATCH RECIEPT ---------- #
Job ID: 17760878
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 12:48:45 BST 2026
Job description: Direct Regression MHA with kl divergence
Node: node885.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 12:51:59
Using cuda device with number of GPUs: 1
Transformer(
  (leading_order_jet_proj): Linear(in_features=8, out_features=64, bias=True)
  (second_order_jet_proj): Linear(in_features=8, out_features=64, bias=True)
  (third_order_jet_proj): Linear(in_features=8, out_features=64, bias=True)
  (fourth_order_jet_proj): Linear(in_features=8, out_features=64, bias=True)
  (muon_proj): Linear(in_features=10, out_features=64, bias=True)
  (electron_proj): Linear(in_features=10, out_features=64, bias=True)
  (met_proj): Linear(in_features=2, out_features=64, bias=True)
  (transformer): TransformerEncoder(
    (layers): ModuleList(
      (0-3): 4 x TransformerEncoderLayer(
        (self_attn): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
        )
        (linear1): Linear(in_features=64, out_features=256, bias=True)
        (dropout): Dropout(p=0.1, inplace=False)
        (linear2): Linear(in_features=256, out_features=64, bias=True)
        (norm1): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
        (norm2): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
        (dropout1): Dropout(p=0.1, inplace=False)
        (dropout2): Dropout(p=0.1, inplace=False)
      )
    )
  )
  (pool): AttentionPooling(
    (attention): Linear(in_features=64, out_features=1, bias=True)
  )
  (classifier): Sequential(
    (0): Linear(in_features=64, out_features=128, bias=True)
    (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    (2): GELU(approximate='none')
    (3): Dropout(p=0.1, inplace=False)
    (4): Linear(in_features=128, out_features=64, bias=True)
    (5): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
    (6): GELU(approximate='none')
    (7): Dropout(p=0.1, inplace=False)
    (8): Linear(in_features=64, out_features=32, bias=True)
    (9): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
    (10): GELU(approximate='none')
    (11): Dropout(p=0.1, inplace=False)
    (12): Linear(in_features=32, out_features=1, bias=True)
  )
)


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.1538 (KL: 0.1970) | Val Loss: 0.1176 (KL: 0.0701) | KLw: 0.007 | Loss Diff : 0.0362 | Epoch Time: 27.69s | Total Time: 27.69s
Epoch 2/150 | Train Loss: 0.1227 (KL: 0.0528) | Val Loss: 0.1138 (KL: 0.0336) | KLw: 0.013 | Loss Diff : 0.0089 | Epoch Time: 9.05s | Total Time: 36.74s
Epoch 3/150 | Train Loss: 0.1181 (KL: 0.0401) | Val Loss: 0.1111 (KL: 0.0259) | KLw: 0.020 | Loss Diff : 0.0070 | Epoch Time: 9.06s | Total Time: 45.80s
Epoch 4/150 | Train Loss: 0.1151 (KL: 0.0346) | Val Loss: 0.1117 (KL: 0.0091) | KLw: 0.027 | Loss Diff : 0.0035 | Epoch Time: 9.04s | Total Time: 54.84s
Epoch 5/150 | Train Loss: 0.1122 (KL: 0.0294) | Val Loss: 0.1081 (KL: 0.0098) | KLw: 0.033 | Loss Diff : 0.0041 | Epoch Time: 9.05s | Total Time: 63.88s
Epoch 6/150 | Train Loss: 0.1104 (KL: 0.0266) | Val Loss: 0.1038 (KL: 0.0203) | KLw: 0.040 | Loss Diff : 0.0066 | Epoch Time: 9.06s | Total Time: 72.95s
Epoch 7/150 | Train Loss: 0.1096 (KL: 0.0244) | Val Loss: 0.1073 (KL: 0.0121) | KLw: 0.047 | Loss Diff : 0.0023 | Epoch Time: 9.07s | Total Time: 82.02s
Epoch 8/150 | Train Loss: 0.1086 (KL: 0.0227) | Val Loss: 0.1053 (KL: 0.0295) | KLw: 0.053 | Loss Diff : 0.0033 | Epoch Time: 9.09s | Total Time: 91.10s
Epoch 9/150 | Train Loss: 0.1081 (KL: 0.0212) | Val Loss: 0.1026 (KL: 0.0191) | KLw: 0.060 | Loss Diff : 0.0055 | Epoch Time: 9.07s | Total Time: 100.18s
Epoch 10/150 | Train Loss: 0.1076 (KL: 0.0199) | Val Loss: 0.1037 (KL: 0.0135) | KLw: 0.067 | Loss Diff : 0.0039 | Epoch Time: 9.08s | Total Time: 109.25s
Epoch 11/150 | Train Loss: 0.1071 (KL: 0.0191) | Val Loss: 0.1031 (KL: 0.0093) | KLw: 0.073 | Loss Diff : 0.0040 | Epoch Time: 9.05s | Total Time: 118.31s
Epoch 12/150 | Train Loss: 0.1068 (KL: 0.0183) | Val Loss: 0.1047 (KL: 0.0105) | KLw: 0.080 | Loss Diff : 0.0021 | Epoch Time: 9.07s | Total Time: 127.38s
Epoch 13/150 | Train Loss: 0.1064 (KL: 0.0172) | Val Loss: 0.1032 (KL: 0.0104) | KLw: 0.087 | Loss Diff : 0.0032 | Epoch Time: 9.08s | Total Time: 136.45s
Epoch 14/150 | Train Loss: 0.1063 (KL: 0.0169) | Val Loss: 0.1028 (KL: 0.0084) | KLw: 0.093 | Loss Diff : 0.0036 | Epoch Time: 9.08s | Total Time: 145.53s
Epoch 15/150 | Train Loss: 0.1060 (KL: 0.0162) | Val Loss: 0.1015 (KL: 0.0147) | KLw: 0.100 | Loss Diff : 0.0045 | Epoch Time: 9.06s | Total Time: 154.59s
Epoch 16/150 | Train Loss: 0.1054 (KL: 0.0158) | Val Loss: 0.1021 (KL: 0.0118) | KLw: 0.100 | Loss Diff : 0.0033 | Epoch Time: 9.05s | Total Time: 163.65s
Epoch 17/150 | Train Loss: 0.1051 (KL: 0.0155) | Val Loss: 0.1012 (KL: 0.0192) | KLw: 0.100 | Loss Diff : 0.0040 | Epoch Time: 9.07s | Total Time: 172.71s
Epoch 18/150 | Train Loss: 0.1049 (KL: 0.0157) | Val Loss: 0.1022 (KL: 0.0108) | KLw: 0.100 | Loss Diff : 0.0027 | Epoch Time: 9.06s | Total Time: 181.78s
Epoch 19/150 | Train Loss: 0.1046 (KL: 0.0156) | Val Loss: 0.1029 (KL: 0.0094) | KLw: 0.100 | Loss Diff : 0.0016 | Epoch Time: 9.07s | Total Time: 190.85s
Epoch 20/150 | Train Loss: 0.1045 (KL: 0.0157) | Val Loss: 0.1006 (KL: 0.0117) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.08s | Total Time: 199.93s
Epoch 21/150 | Train Loss: 0.1043 (KL: 0.0155) | Val Loss: 0.1027 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0016 | Epoch Time: 9.08s | Total Time: 209.01s
Epoch 22/150 | Train Loss: 0.1040 (KL: 0.0154) | Val Loss: 0.1005 (KL: 0.0151) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.05s | Total Time: 218.06s
Epoch 23/150 | Train Loss: 0.1037 (KL: 0.0153) | Val Loss: 0.1011 (KL: 0.0088) | KLw: 0.100 | Loss Diff : 0.0026 | Epoch Time: 9.06s | Total Time: 227.12s
Epoch 24/150 | Train Loss: 0.1034 (KL: 0.0153) | Val Loss: 0.1011 (KL: 0.0170) | KLw: 0.100 | Loss Diff : 0.0023 | Epoch Time: 9.07s | Total Time: 236.19s
Epoch 25/150 | Train Loss: 0.1032 (KL: 0.0152) | Val Loss: 0.0999 (KL: 0.0098) | KLw: 0.100 | Loss Diff : 0.0033 | Epoch Time: 9.07s | Total Time: 245.27s
Epoch 26/150 | Train Loss: 0.1030 (KL: 0.0151) | Val Loss: 0.1008 (KL: 0.0098) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.09s | Total Time: 254.35s
Epoch 27/150 | Train Loss: 0.1028 (KL: 0.0151) | Val Loss: 0.0998 (KL: 0.0124) | KLw: 0.100 | Loss Diff : 0.0030 | Epoch Time: 9.06s | Total Time: 263.41s
Epoch 28/150 | Train Loss: 0.1027 (KL: 0.0153) | Val Loss: 0.0998 (KL: 0.0124) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.06s | Total Time: 272.48s
Epoch 29/150 | Train Loss: 0.1023 (KL: 0.0149) | Val Loss: 0.0994 (KL: 0.0111) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.07s | Total Time: 281.55s
Epoch 30/150 | Train Loss: 0.1020 (KL: 0.0150) | Val Loss: 0.0992 (KL: 0.0138) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.08s | Total Time: 290.63s
