# ---------- BATCH RECIEPT ---------- #
Job ID: 17760906
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 13:05:52 BST 2026
Job description: Direct Regression MLA
Node: node888.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 13:05:56
Using cuda device with number of GPUs: 1
Transformer(
  (jet_0_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_0_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (jet_1_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_1_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (jet_2_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_2_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (jet_3_compressor): Linear(in_features=8, out_features=16, bias=True)
  (jet_3_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (muon_compressor): Linear(in_features=10, out_features=16, bias=True)
  (muon_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (electron_compressor): Linear(in_features=10, out_features=16, bias=True)
  (electron_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (met_compressor): Linear(in_features=2, out_features=16, bias=True)
  (met_decompressor): Linear(in_features=16, out_features=64, bias=True)
  (transformer): TransformerEncoder(
    (layers): ModuleList(
      (0-3): 4 x TransformerEncoderLayer(
        (self_attn): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
        )
        (linear1): Linear(in_features=64, out_features=256, bias=True)
        (dropout): Dropout(p=0.1, inplace=False)
        (linear2): Linear(in_features=256, out_features=64, bias=True)
        (norm1): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
        (norm2): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
        (dropout1): Dropout(p=0.1, inplace=False)
        (dropout2): Dropout(p=0.1, inplace=False)
      )
    )
  )
  (pool): AttentionPooling(
    (attention): Linear(in_features=64, out_features=1, bias=True)
  )
  (classifier): Sequential(
    (0): Linear(in_features=64, out_features=128, bias=True)
    (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    (2): GELU(approximate='none')
    (3): Dropout(p=0.1, inplace=False)
    (4): Linear(in_features=128, out_features=64, bias=True)
    (5): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
    (6): GELU(approximate='none')
    (7): Dropout(p=0.1, inplace=False)
    (8): Linear(in_features=64, out_features=32, bias=True)
    (9): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
    (10): GELU(approximate='none')
    (11): Dropout(p=0.1, inplace=False)
    (12): Linear(in_features=32, out_features=1, bias=True)
  )
)
Total parameters: 227,730


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.1506 | Val Loss: 0.1188 | Loss Diff : 0.0318 | Epoch Time: 8.85s | Total Time: 8.85s
Epoch 2/150 | Train Loss: 0.1217 | Val Loss: 0.1143 | Loss Diff : 0.0074 | Epoch Time: 8.65s | Total Time: 17.50s
Epoch 3/150 | Train Loss: 0.1167 | Val Loss: 0.1087 | Loss Diff : 0.0080 | Epoch Time: 8.64s | Total Time: 26.13s
Epoch 4/150 | Train Loss: 0.1133 | Val Loss: 0.1071 | Loss Diff : 0.0062 | Epoch Time: 8.63s | Total Time: 34.76s
Epoch 5/150 | Train Loss: 0.1106 | Val Loss: 0.1039 | Loss Diff : 0.0067 | Epoch Time: 8.64s | Total Time: 43.40s
Epoch 6/150 | Train Loss: 0.1090 | Val Loss: 0.1032 | Loss Diff : 0.0058 | Epoch Time: 8.61s | Total Time: 52.01s
Epoch 7/150 | Train Loss: 0.1078 | Val Loss: 0.1042 | Loss Diff : 0.0036 | Epoch Time: 8.63s | Total Time: 60.64s
Epoch 8/150 | Train Loss: 0.1068 | Val Loss: 0.1028 | Loss Diff : 0.0040 | Epoch Time: 8.63s | Total Time: 69.27s
Epoch 9/150 | Train Loss: 0.1062 | Val Loss: 0.1028 | Loss Diff : 0.0034 | Epoch Time: 8.66s | Total Time: 77.93s
Epoch 10/150 | Train Loss: 0.1057 | Val Loss: 0.1024 | Loss Diff : 0.0032 | Epoch Time: 8.61s | Total Time: 86.54s
Epoch 11/150 | Train Loss: 0.1052 | Val Loss: 0.1016 | Loss Diff : 0.0036 | Epoch Time: 8.60s | Total Time: 95.14s
Epoch 12/150 | Train Loss: 0.1048 | Val Loss: 0.0999 | Loss Diff : 0.0049 | Epoch Time: 8.60s | Total Time: 103.74s
Epoch 13/150 | Train Loss: 0.1045 | Val Loss: 0.1000 | Loss Diff : 0.0045 | Epoch Time: 8.62s | Total Time: 112.36s
Epoch 14/150 | Train Loss: 0.1040 | Val Loss: 0.1012 | Loss Diff : 0.0027 | Epoch Time: 8.59s | Total Time: 120.95s
Epoch 15/150 | Train Loss: 0.1037 | Val Loss: 0.1003 | Loss Diff : 0.0035 | Epoch Time: 8.63s | Total Time: 129.58s
Epoch 16/150 | Train Loss: 0.1036 | Val Loss: 0.0997 | Loss Diff : 0.0040 | Epoch Time: 8.62s | Total Time: 138.20s
Epoch 17/150 | Train Loss: 0.1032 | Val Loss: 0.1012 | Loss Diff : 0.0020 | Epoch Time: 8.62s | Total Time: 146.82s
Epoch 18/150 | Train Loss: 0.1030 | Val Loss: 0.1003 | Loss Diff : 0.0027 | Epoch Time: 8.63s | Total Time: 155.46s
Epoch 19/150 | Train Loss: 0.1028 | Val Loss: 0.1001 | Loss Diff : 0.0027 | Epoch Time: 8.64s | Total Time: 164.10s
Epoch 20/150 | Train Loss: 0.1025 | Val Loss: 0.1016 | Loss Diff : 0.0009 | Epoch Time: 8.62s | Total Time: 172.72s
