# ---------- BATCH RECIEPT ---------- #
Job ID: 17760745
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 12:31:48 BST 2026
Job description: Kinematic Regression MHA with no mass loss
Node: node872.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 12:31:58
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.3525 (KL: 1.9199) | Val Loss: 0.3283 (KL: 2.0256) | Train - Val Loss Diff : 0.0241 | Epoch Time: 10.81s | Total Time: 10.81s
Epoch 2/150 | Train Loss: 0.3100 (KL: 0.6889) | Val Loss: 0.2475 (KL: 0.2308) | Train - Val Loss Diff : 0.0625 | Epoch Time: 10.52s | Total Time: 21.34s
Epoch 3/150 | Train Loss: 0.2045 (KL: 0.1021) | Val Loss: 0.1745 (KL: 0.0680) | Train - Val Loss Diff : 0.0300 | Epoch Time: 10.54s | Total Time: 31.87s
Epoch 4/150 | Train Loss: 0.1510 (KL: 0.0475) | Val Loss: 0.1166 (KL: 0.0468) | Train - Val Loss Diff : 0.0344 | Epoch Time: 10.52s | Total Time: 42.39s
Epoch 5/150 | Train Loss: 0.1278 (KL: 0.0314) | Val Loss: 0.1018 (KL: 0.0245) | Train - Val Loss Diff : 0.0259 | Epoch Time: 10.53s | Total Time: 52.92s
Epoch 6/150 | Train Loss: 0.1186 (KL: 0.0262) | Val Loss: 0.0929 (KL: 0.0262) | Train - Val Loss Diff : 0.0257 | Epoch Time: 10.52s | Total Time: 63.44s
Epoch 7/150 | Train Loss: 0.1116 (KL: 0.0229) | Val Loss: 0.0894 (KL: 0.0201) | Train - Val Loss Diff : 0.0222 | Epoch Time: 10.53s | Total Time: 73.97s
Epoch 8/150 | Train Loss: 0.1087 (KL: 0.0210) | Val Loss: 0.0874 (KL: 0.0236) | Train - Val Loss Diff : 0.0213 | Epoch Time: 10.53s | Total Time: 84.50s
Epoch 9/150 | Train Loss: 0.1068 (KL: 0.0199) | Val Loss: 0.0881 (KL: 0.0249) | Train - Val Loss Diff : 0.0188 | Epoch Time: 10.54s | Total Time: 95.04s
Epoch 10/150 | Train Loss: 0.1057 (KL: 0.0189) | Val Loss: 0.0842 (KL: 0.0165) | Train - Val Loss Diff : 0.0215 | Epoch Time: 10.52s | Total Time: 105.56s
Epoch 11/150 | Train Loss: 0.1048 (KL: 0.0182) | Val Loss: 0.0829 (KL: 0.0140) | Train - Val Loss Diff : 0.0220 | Epoch Time: 10.51s | Total Time: 116.07s
Epoch 12/150 | Train Loss: 0.1041 (KL: 0.0175) | Val Loss: 0.0823 (KL: 0.0130) | Train - Val Loss Diff : 0.0218 | Epoch Time: 10.50s | Total Time: 126.58s
Epoch 13/150 | Train Loss: 0.1035 (KL: 0.0168) | Val Loss: 0.0843 (KL: 0.0149) | Train - Val Loss Diff : 0.0192 | Epoch Time: 10.53s | Total Time: 137.10s
Epoch 14/150 | Train Loss: 0.1033 (KL: 0.0165) | Val Loss: 0.0811 (KL: 0.0164) | Train - Val Loss Diff : 0.0221 | Epoch Time: 10.54s | Total Time: 147.64s
Epoch 15/150 | Train Loss: 0.1028 (KL: 0.0160) | Val Loss: 0.0837 (KL: 0.0153) | Train - Val Loss Diff : 0.0191 | Epoch Time: 10.58s | Total Time: 158.22s
Epoch 16/150 | Train Loss: 0.1026 (KL: 0.0161) | Val Loss: 0.0817 (KL: 0.0151) | Train - Val Loss Diff : 0.0209 | Epoch Time: 10.51s | Total Time: 168.73s
Epoch 17/150 | Train Loss: 0.1020 (KL: 0.0158) | Val Loss: 0.0816 (KL: 0.0164) | Train - Val Loss Diff : 0.0204 | Epoch Time: 10.52s | Total Time: 179.25s
Epoch 18/150 | Train Loss: 0.1019 (KL: 0.0159) | Val Loss: 0.0840 (KL: 0.0108) | Train - Val Loss Diff : 0.0179 | Epoch Time: 10.52s | Total Time: 189.77s
Epoch 19/150 | Train Loss: 0.1015 (KL: 0.0158) | Val Loss: 0.0820 (KL: 0.0129) | Train - Val Loss Diff : 0.0195 | Epoch Time: 10.53s | Total Time: 200.30s
Epoch 20/150 | Train Loss: 0.1013 (KL: 0.0157) | Val Loss: 0.0842 (KL: 0.0123) | Train - Val Loss Diff : 0.0172 | Epoch Time: 10.53s | Total Time: 210.83s
Epoch 21/150 | Train Loss: 0.0979 (KL: 0.0144) | Val Loss: 0.0772 (KL: 0.0110) | Train - Val Loss Diff : 0.0207 | Epoch Time: 10.54s | Total Time: 221.37s
Epoch 22/150 | Train Loss: 0.0976 (KL: 0.0144) | Val Loss: 0.0765 (KL: 0.0135) | Train - Val Loss Diff : 0.0211 | Epoch Time: 10.52s | Total Time: 231.89s
Epoch 23/150 | Train Loss: 0.0973 (KL: 0.0143) | Val Loss: 0.0774 (KL: 0.0156) | Train - Val Loss Diff : 0.0199 | Epoch Time: 10.53s | Total Time: 242.41s
Epoch 24/150 | Train Loss: 0.0972 (KL: 0.0142) | Val Loss: 0.0763 (KL: 0.0145) | Train - Val Loss Diff : 0.0209 | Epoch Time: 10.51s | Total Time: 252.93s
Epoch 25/150 | Train Loss: 0.0970 (KL: 0.0142) | Val Loss: 0.0769 (KL: 0.0154) | Train - Val Loss Diff : 0.0201 | Epoch Time: 10.53s | Total Time: 263.46s
Epoch 26/150 | Train Loss: 0.0968 (KL: 0.0142) | Val Loss: 0.0771 (KL: 0.0125) | Train - Val Loss Diff : 0.0197 | Epoch Time: 10.54s | Total Time: 274.00s
Epoch 27/150 | Train Loss: 0.0967 (KL: 0.0142) | Val Loss: 0.0767 (KL: 0.0147) | Train - Val Loss Diff : 0.0200 | Epoch Time: 10.52s | Total Time: 284.52s
Epoch 28/150 | Train Loss: 0.0964 (KL: 0.0141) | Val Loss: 0.0759 (KL: 0.0115) | Train - Val Loss Diff : 0.0205 | Epoch Time: 10.51s | Total Time: 295.03s
Epoch 29/150 | Train Loss: 0.0963 (KL: 0.0141) | Val Loss: 0.0764 (KL: 0.0132) | Train - Val Loss Diff : 0.0199 | Epoch Time: 10.52s | Total Time: 305.55s
Epoch 30/150 | Train Loss: 0.0962 (KL: 0.0141) | Val Loss: 0.0756 (KL: 0.0119) | Train - Val Loss Diff : 0.0206 | Epoch Time: 10.52s | Total Time: 316.07s
Epoch 31/150 | Train Loss: 0.0960 (KL: 0.0141) | Val Loss: 0.0758 (KL: 0.0108) | Train - Val Loss Diff : 0.0203 | Epoch Time: 10.54s | Total Time: 326.60s
Epoch 32/150 | Train Loss: 0.0959 (KL: 0.0141) | Val Loss: 0.0763 (KL: 0.0124) | Train - Val Loss Diff : 0.0196 | Epoch Time: 10.52s | Total Time: 337.13s
Epoch 33/150 | Train Loss: 0.0959 (KL: 0.0141) | Val Loss: 0.0754 (KL: 0.0132) | Train - Val Loss Diff : 0.0204 | Epoch Time: 10.52s | Total Time: 347.64s
Epoch 34/150 | Train Loss: 0.0957 (KL: 0.0140) | Val Loss: 0.0766 (KL: 0.0123) | Train - Val Loss Diff : 0.0191 | Epoch Time: 10.51s | Total Time: 358.15s
Epoch 35/150 | Train Loss: 0.0956 (KL: 0.0140) | Val Loss: 0.0751 (KL: 0.0113) | Train - Val Loss Diff : 0.0205 | Epoch Time: 10.51s | Total Time: 368.66s
