# ---------- BATCH RECIEPT ---------- #
Job ID: 17762331
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:10:53 BST 2026
Job description: Kinematic Regression MLA with no scaling
Node: node872.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:10:59
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 1/150 | Train Loss: 0.3530 (KL: 1.3285) | Val Loss: 0.3379 (KL: 1.5983) | Train - Val Loss Diff : 0.0151 | Mass Train Loss : 246.0570 | Mass Val Loss : 233.7230 | Epoch Time: 12.06s | Total Time: 12.06s
Epoch 2/150 | Train Loss: 0.2949 (KL: 0.4867) | Val Loss: 0.1970 (KL: 0.0657) | Train - Val Loss Diff : 0.0979 | Mass Train Loss : 210.3567 | Mass Val Loss : 154.3968 | Epoch Time: 11.77s | Total Time: 23.83s
Epoch 3/150 | Train Loss: 0.1980 (KL: 0.0614) | Val Loss: 0.1482 (KL: 0.0547) | Train - Val Loss Diff : 0.0498 | Mass Train Loss : 163.9984 | Mass Val Loss : 157.5430 | Epoch Time: 11.78s | Total Time: 35.61s
Epoch 4/150 | Train Loss: 0.1408 (KL: 0.0302) | Val Loss: 0.1153 (KL: 0.0339) | Train - Val Loss Diff : 0.0254 | Mass Train Loss : 141.2299 | Mass Val Loss : 99.9948 | Epoch Time: 11.78s | Total Time: 47.40s
Epoch 5/150 | Train Loss: 0.1317 (KL: 0.0248) | Val Loss: 0.1106 (KL: 0.0227) | Train - Val Loss Diff : 0.0211 | Mass Train Loss : 135.2802 | Mass Val Loss : 109.1319 | Epoch Time: 11.78s | Total Time: 59.18s
Epoch 6/150 | Train Loss: 0.1286 (KL: 0.0229) | Val Loss: 0.1081 (KL: 0.0230) | Train - Val Loss Diff : 0.0205 | Mass Train Loss : 132.1612 | Mass Val Loss : 108.2414 | Epoch Time: 11.76s | Total Time: 70.94s
Epoch 7/150 | Train Loss: 0.1253 (KL: 0.0215) | Val Loss: 0.0996 (KL: 0.0228) | Train - Val Loss Diff : 0.0257 | Mass Train Loss : 131.5731 | Mass Val Loss : 100.4315 | Epoch Time: 11.78s | Total Time: 82.73s
Epoch 8/150 | Train Loss: 0.1193 (KL: 0.0194) | Val Loss: 0.0925 (KL: 0.0238) | Train - Val Loss Diff : 0.0269 | Mass Train Loss : 132.3141 | Mass Val Loss : 103.8312 | Epoch Time: 11.78s | Total Time: 94.51s
Epoch 9/150 | Train Loss: 0.1131 (KL: 0.0173) | Val Loss: 0.0889 (KL: 0.0175) | Train - Val Loss Diff : 0.0242 | Mass Train Loss : 133.7316 | Mass Val Loss : 109.2007 | Epoch Time: 11.78s | Total Time: 106.29s
Epoch 10/150 | Train Loss: 0.1116 (KL: 0.0166) | Val Loss: 0.0874 (KL: 0.0136) | Train - Val Loss Diff : 0.0243 | Mass Train Loss : 132.2899 | Mass Val Loss : 104.9020 | Epoch Time: 11.77s | Total Time: 118.05s
Epoch 11/150 | Train Loss: 0.1109 (KL: 0.0161) | Val Loss: 0.0873 (KL: 0.0162) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 131.3122 | Mass Val Loss : 101.9959 | Epoch Time: 11.78s | Total Time: 129.84s
Epoch 12/150 | Train Loss: 0.1103 (KL: 0.0158) | Val Loss: 0.0867 (KL: 0.0146) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 131.0116 | Mass Val Loss : 97.0682 | Epoch Time: 11.76s | Total Time: 141.59s
Epoch 13/150 | Train Loss: 0.1097 (KL: 0.0152) | Val Loss: 0.0859 (KL: 0.0125) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 130.1371 | Mass Val Loss : 97.3265 | Epoch Time: 11.78s | Total Time: 153.38s
Epoch 14/150 | Train Loss: 0.1093 (KL: 0.0149) | Val Loss: 0.0854 (KL: 0.0176) | Train - Val Loss Diff : 0.0240 | Mass Train Loss : 129.7460 | Mass Val Loss : 91.1317 | Epoch Time: 11.80s | Total Time: 165.18s
